z_init;mu_z0;mu_z1;seed;d;sdmu;n_small;n_large;Csurv;Bsurv;Cfec;Bfec;baseline_mortality;s_small;s_large;p_large;n_patches;time;z_small;varz_small;z_large;varz_large;n;freq_largefile
0;0.01;0.01;830375621;0.5;0.01;5;5;0;0;1;0.01;0.01;0.2;0.9;0.181818;500;100000;-9.14553e-05;0.000271289;-1.68365e-05;9.38761e-05;2500;0.18./sim_patch_size_25_01_2024_213940_1
0;0.01;0.01;549790046;0.5;0.01;5;5;0;0;1;0.746316;0.01;0.2;0.9;0.181818;500;100000;-7.44129e-05;0.000179731;-8.96568e-06;0.000180931;2500;0.178./sim_patch_size_25_01_2024_213940_2
0;0.01;0.01;1342702773;0.5;0.01;5;5;0;0;1;1.48263;0.01;0.2;0.9;0.181818;500;100000;-6.43272e-05;0.00045132;1.10882e-05;0.00019951;2500;0.198./sim_patch_size_25_01_2024_213940_3
0;0.01;0.01;1264404657;0.5;0.01;5;5;0;0;1;2.21895;0.01;0.2;0.9;0.181818;500;100000;-3.89993e-05;0.000458996;-3.28009e-05;0.000370525;2500;0.18./sim_patch_size_25_01_2024_213940_4
0;0.01;0.01;2245163541;0.5;0.01;5;5;0;0;1;2.95526;0.01;0.2;0.9;0.181818;500;100000;-3.77832e-05;0.000644377;2.50999e-06;0.000302982;2500;0.164./sim_patch_size_25_01_2024_213940_5
0;0.01;0.01;1383959582;0.5;0.01;5;5;0;0;1;3.69158;0.01;0.2;0.9;0.181818;500;100000;-2.23868e-05;0.000453149;-1.25662e-05;0.000410937;2500;0.236./sim_patch_size_25_01_2024_213940_6
0;0.01;0.01;3596997902;0.5;0.01;5;5;0;0;1;4.42789;0.01;0.2;0.9;0.181818;500;100000;-5.72546e-07;0.000522891;9.00682e-06;0.000623071;2500;0.19./sim_patch_size_25_01_2024_213940_7
0;0.01;0.01;3488552660;0.5;0.01;5;5;0;0;1;5.16421;0.01;0.2;0.9;0.181818;500;100000;1.6541e-05;0.000549329;1.44265e-05;0.00051796;2500;0.182./sim_patch_size_25_01_2024_213940_8
0;0.01;0.01;4056560395;0.5;0.01;5;5;0;0;1;5.90053;0.01;0.2;0.9;0.181818;500;100000;3.40875e-05;0.000346697;1.74338e-05;0.000254443;2500;0.176./sim_patch_size_25_01_2024_213940_9
0;0.01;0.01;1839485590;0.5;0.01;5;5;0;0;1;6.63684;0.01;0.2;0.9;0.181818;500;100000;3.76391e-05;0.000374791;-2.77584e-06;0.000556385;2500;0.146./sim_patch_size_25_01_2024_213940_10
0;0.01;0.01;903510651;0.5;0.01;5;5;0;0;1;7.37316;0.01;0.2;0.9;0.181818;500;100000;3.69308e-05;0.000180568;1.9604e-05;0.000220188;2500;0.214./sim_patch_size_25_01_2024_213940_11
0;0.01;0.01;1952913380;0.5;0.01;5;5;0;0;1;8.10947;0.01;0.2;0.9;0.181818;500;100000;7.06938e-05;0.000318952;5.32572e-08;0.000164568;2500;0.206./sim_patch_size_25_01_2024_213940_12
0;0.01;0.01;1132939058;0.5;0.01;5;5;0;0;1;8.84579;0.01;0.2;0.9;0.181818;500;100000;4.8403e-05;0.000394637;7.11509e-06;0.000238991;2500;0.202./sim_patch_size_25_01_2024_213940_13
0;0.01;0.01;625952548;0.5;0.01;5;5;0;0;1;9.58211;0.01;0.2;0.9;0.181818;500;100000;7.80369e-05;0.000459394;3.01867e-06;0.000442914;2500;0.166./sim_patch_size_25_01_2024_213940_14
0;0.01;0.01;3082604926;0.5;0.01;5;5;0;0;1;10.3184;0.01;0.2;0.9;0.181818;500;100000;6.69863e-05;0.000201212;1.56324e-05;0.000302265;2500;0.18./sim_patch_size_25_01_2024_213940_15
0;0.01;0.01;2447619412;0.5;0.01;5;5;0;0;1;11.0547;0.01;0.2;0.9;0.181818;500;100000;8.21665e-05;0.000381775;5.72902e-06;0.000188415;2500;0.172./sim_patch_size_25_01_2024_213940_16
0;0.01;0.01;2657534926;0.5;0.01;5;5;0;0;1;11.7911;0.01;0.2;0.9;0.181818;500;100000;7.34529e-05;0.000366222;2.69599e-05;0.000309778;2500;0.176./sim_patch_size_25_01_2024_213940_17
0;0.01;0.01;384934877;0.5;0.01;5;5;0;0;1;12.5274;0.01;0.2;0.9;0.181818;500;100000;7.28665e-05;0.000291946;1.07389e-06;0.000145918;2500;0.166./sim_patch_size_25_01_2024_213940_18
0;0.01;0.01;3906980864;0.5;0.01;5;5;0;0;1;13.2637;0.01;0.2;0.9;0.181818;500;100000;6.61454e-05;0.000416096;5.98535e-06;0.000847234;2500;0.164./sim_patch_size_25_01_2024_213940_19
0;0.01;0.01;1812837575;0.5;0.01;5;5;0;0;1;14;0.01;0.2;0.9;0.181818;500;100000;7.96533e-05;0.000657341;7.4406e-06;0.00065428;2500;0.198./sim_patch_size_25_01_2024_213940_20
0;0.01;0.01;556705936;0.5;0.01;5;5;0;0;1;0.01;0.0621053;0.2;0.9;0.181818;500;100000;-0.00043538;0.000310029;-6.40018e-05;0.000337187;2500;0.156./sim_patch_size_25_01_2024_213940_21
0;0.01;0.01;2623494977;0.5;0.01;5;5;0;0;1;0.746316;0.0621053;0.2;0.9;0.181818;500;100000;-0.000432387;0.000446465;-9.97144e-05;0.000240324;2500;0.188./sim_patch_size_25_01_2024_213940_22
0;0.01;0.01;3423325811;0.5;0.01;5;5;0;0;1;1.48263;0.0621053;0.2;0.9;0.181818;500;100000;-0.000487063;0.000316079;-0.000106515;0.000192428;2500;0.216./sim_patch_size_25_01_2024_213940_23
0;0.01;0.01;443510282;0.5;0.01;5;5;0;0;1;2.21895;0.0621053;0.2;0.9;0.181818;500;100000;-0.000339922;0.005458;3.60312e-05;0.00262608;2500;0.19./sim_patch_size_25_01_2024_213940_24
0;0.01;0.01;1324646490;0.5;0.01;5;5;0;0;1;2.95526;0.0621053;0.2;0.9;0.181818;500;100000;-0.0002393;0.000394431;0.000192968;0.00145099;2500;0.204./sim_patch_size_25_01_2024_213940_25
0;0.01;0.01;65495117;0.5;0.01;5;5;0;0;1;3.69158;0.0621053;0.2;0.9;0.181818;500;100000;-0.000190163;0.000461705;-4.48929e-05;0.00019409;2500;0.204./sim_patch_size_25_01_2024_213940_26
0;0.01;0.01;1165387070;0.5;0.01;5;5;0;0;1;4.42789;0.0621053;0.2;0.9;0.181818;500;100000;1.11803e-05;0.00171868;1.6516e-05;0.0068568;2500;0.152./sim_patch_size_25_01_2024_213940_27
0;0.01;0.01;480319919;0.5;0.01;5;5;0;0;1;5.16421;0.0621053;0.2;0.9;0.181818;500;100000;0.00013457;0.00050855;4.38634e-05;0.000652146;2500;0.188./sim_patch_size_25_01_2024_213940_28
0;0.01;0.01;901420072;0.5;0.01;5;5;0;0;1;5.90053;0.0621053;0.2;0.9;0.181818;500;100000;0.000167392;0.000720083;5.69301e-05;0.000762548;2500;0.168./sim_patch_size_25_01_2024_213940_29
0;0.01;0.01;3057417376;0.5;0.01;5;5;0;0;1;6.63684;0.0621053;0.2;0.9;0.181818;500;100000;0.000188993;0.000411848;4.07969e-05;0.000396013;2500;0.184./sim_patch_size_25_01_2024_213940_30
0;0.01;0.01;2442156298;0.5;0.01;5;5;0;0;1;7.37316;0.0621053;0.2;0.9;0.181818;500;100000;0.000195559;0.000354526;6.68917e-05;0.000931844;2500;0.186./sim_patch_size_25_01_2024_213940_31
0;0.01;0.01;1960208234;0.5;0.01;5;5;0;0;1;8.10947;0.0621053;0.2;0.9;0.181818;500;100000;0.000229352;0.00152054;6.17659e-05;0.000326646;2500;0.202./sim_patch_size_25_01_2024_213940_32
0;0.01;0.01;1788517412;0.5;0.01;5;5;0;0;1;8.84579;0.0621053;0.2;0.9;0.181818;500;100000;0.000266607;0.000911948;0.000109631;0.00138371;2500;0.194./sim_patch_size_25_01_2024_213940_33
0;0.01;0.01;3779434277;0.5;0.01;5;5;0;0;1;9.58211;0.0621053;0.2;0.9;0.181818;500;100000;0.000251138;0.000576719;7.57423e-05;0.000743281;2500;0.196./sim_patch_size_25_01_2024_213940_34
0;0.01;0.01;2254264209;0.5;0.01;5;5;0;0;1;10.3184;0.0621053;0.2;0.9;0.181818;500;100000;0.000291243;0.00082019;0.000120609;0.00037159;2500;0.178./sim_patch_size_25_01_2024_213940_35
0;0.01;0.01;3070582004;0.5;0.01;5;5;0;0;1;11.0547;0.0621053;0.2;0.9;0.181818;500;100000;0.000286177;0.000265384;-4.66489e-05;0.000598043;2500;0.198./sim_patch_size_25_01_2024_213940_36
0;0.01;0.01;3288716036;0.5;0.01;5;5;0;0;1;11.7911;0.0621053;0.2;0.9;0.181818;500;100000;0.000269883;0.00062796;7.48012e-05;0.000265633;2500;0.162./sim_patch_size_25_01_2024_213940_37
0;0.01;0.01;2936812306;0.5;0.01;5;5;0;0;1;12.5274;0.0621053;0.2;0.9;0.181818;500;100000;0.000307934;0.000321978;9.30179e-05;0.00030727;2500;0.206./sim_patch_size_25_01_2024_213940_38
0;0.01;0.01;3884882391;0.5;0.01;5;5;0;0;1;13.2637;0.0621053;0.2;0.9;0.181818;500;100000;0.000298031;0.000361967;1.65256e-05;0.000582576;2500;0.21./sim_patch_size_25_01_2024_213940_39
0;0.01;0.01;1488158307;0.5;0.01;5;5;0;0;1;14;0.0621053;0.2;0.9;0.181818;500;100000;0.000281765;0.000536657;4.71136e-05;0.000275156;2500;0.194./sim_patch_size_25_01_2024_213940_40
